Geneid	Chr	Start	End	Strand	Length	dump/SRR6754132_subread.bam	dump/SRR6754133_subread.bam	dump/SRR6754134_subread.bam	dump/SRR6754135_subread.bam	dump/SRR6754136_subread.bam	dump/SRR6754137_subread.bam	dump/SRR6754138_subread.bam	dump/SRR6754139_subread.bam	dump/SRR6754140_subread.bam
1700095J12Rik	chr4	138137595	138138518	-	924	1	0	0	0	0	3	1	0	0
Mir6399	chr4	138163209	138163292	+	84	1	1	0	0	0	0	0	0	0
2310026L22Rik	chr4	138215714	138216189	+	476	8	1	1	0	3	0	0	10	7
Hp1bp3	chr4	138216296	138244683	+	28388	3239	3971	3395	2342	4247	4063	4555	3175	3711
Sh2d5	chr4	138250403	138261332	+	10930	128	30	6	1	6	9	91	112	10
Kif17	chr4	138250435	138301967	+	51533	254	274	75	1	9	14	97	113	10
Ddost	chr4	138304730	138312628	+	7899	9079	6458	4372	13965	11452	12032	9357	9996	7274
Pink1	chr4	138313409	138326307	-	12899	6995	5048	4000	1299	1008	1370	11849	8226	4760
Mir7019	chr4	138316132	138316200	-	69	196	132	105	51	29	33	408	281	162
Gm27646	chr4	138325980	138326089	-	110	939	765	568	164	139	197	1807	1129	611
Cda	chr4	138338424	138367992	-	29569	180	174	40	68	46	53	35	51	67
Fam43b	chr4	138394092	138396528	-	2437	50	12	29	0	0	0	0	0	0
AB041806	chr4	138395198	138397714	+	2517	27	10	18	0	0	0	0	0	0
Rpl38-ps1	chr4	138425788	138426002	+	215	178	165	133	1428	1063	886	657	625	488
Mul1	chr4	138434671	138442265	+	7595	966	778	578	1639	1249	1352	1132	1033	982
Camk2n1	chr4	138454314	138460123	+	5810	303	570	503	32	27	31	12	9	6
Vwa5b1	chr4	138565360	138635884	-	70525	24	30	13	6	0	0	0	3	0
Gm22961	chr4	138587624	138587729	-	106	0	0	0	0	0	0	0	0	0
Ubxn10	chr4	138709837	138737167	-	27331	0	26	0	0	1	0	0	4	0
Pla2g2c	chr4	138724792	138746132	+	21341	3	17	0	0	0	0	0	0	0
Pla2g2f	chr4	138750533	138757626	-	7094	1	22	5	0	0	0	0	0	0
Pla2g2d	chr4	138775735	138782046	+	6312	3	13	0	19	0	1	55	9	40
Pla2g5	chr4	138799244	138863482	-	64239	101	77	45	16	4	2	0	3	0
Gm25280	chr4	138827376	138827476	-	101	1	0	0	0	0	0	0	0	0
Pla2g2a	chr4	138831857	138835186	+	3330	1	4	0	0	0	0	0	0	0
Gm13030	chr4	138870992	138873964	-	2973	0	0	12	0	0	0	0	0	0
Pla2g2e	chr4	138877942	138882817	+	4876	0	21	1	0	0	11	69	13	54
Otud3	chr4	138895379	138913945	-	18567	186	191	171	296	117	294	461	419	58
Rnf186	chr4	138967112	138968360	+	1249	0	0	0	0	0	0	0	0	0
Tmco4	chr4	138972888	139059171	+	86284	500	947	280	117	52	22	426	333	259
Htr6	chr4	139061108	139075570	-	14463	22	22	34	0	7	13	3	10	1
RP23-65B16.5	chr4	139075824	139076208	+	385	0	0	0	0	0	0	0	0	0
Nbl1	chr4	139082284	139092993	-	10710	17538	17155	15876	6243	4722	4143	4090	5287	2770
Minos1	chr4	139101814	139131113	-	29300	3711	3742	3016	8080	6806	6461	7719	7443	7649
Hspe1-ps4	chr4	139150197	139150805	+	609	2	10	22	0	0	0	0	0	3
Gm16287	chr4	139175405	139180655	-	5251	4	55	27	3	0	0	3	21	10
Capzb	chr4	139192899	139291818	+	98920	8160	9905	7754	21592	20433	18797	17720	19322	13937
Pqlc2	chr4	139294029	139310708	-	16680	221	138	133	731	536	497	701	836	539
Akr7a5	chr4	139310744	139318426	+	7683	508	438	395	1667	1553	1519	2116	1979	1889
Gm25732	chr4	139338206	139338265	+	60	7	9	9	2	2	1	4	1	0
Gm24245	chr4	139338304	139338360	+	57	197	237	335	33	17	26	20	17	10
Gm13019	chr4	139342183	139343333	+	1151	1	0	6	0	0	0	0	0	0
Ccnd3-ps	chr4	139345300	139346180	-	881	223	160	173	1579	1805	2162	1515	1416	1579
Mrto4	chr4	139347435	139352576	-	5142	1204	1313	584	4223	3586	3002	1095	1154	943
Emc1	chr4	139352587	139378730	+	26144	1082	949	659	836	1623	1416	2258	2266	1895
Ubr4	chr4	139352609	139489588	+	136980	7615	8401	4884	3481	6484	5944	8010	5731	5875
2700016F22Rik	chr4	139376549	139380379	-	3831	267	213	299	197	257	219	122	123	97
Iffo2	chr4	139530548	139620382	+	89835	797	920	805	519	342	411	280	389	118
Gm25571	chr4	139588876	139588977	-	102	7	1	7	0	4	0	0	0	0
Gm21969	chr4	139603186	139662691	+	59506	828	1147	911	974	827	996	1457	1716	1913
Aldh4a1	chr4	139622866	139649690	+	26825	359	590	421	560	582	622	1247	1468	1796
Mir7020	chr4	139644042	139644111	+	70	16	29	23	19	30	21	51	65	76
Tas1r2	chr4	139653538	139670280	+	16743	3	40	31	0	0	0	0	0	0
Pax7	chr4	139737062	139833528	-	96467	77	234	167	523	993	946	335	50	358
Gm1667	chr4	139910488	139912133	+	1646	0	0	0	0	0	0	0	0	0
Gm13028	chr4	139923349	139933170	+	9822	0	2	0	0	0	0	0	0	0
4933427I22Rik	chr4	139926111	139943519	-	17409	0	3	1	0	0	0	1	0	0
Klhdc7a	chr4	139960220	139968026	-	7807	21	12	0	0	4	0	0	9	27
Mir2139	chr4	139967526	139967620	-	95	0	3	0	0	1	0	0	0	0
Igsf21	chr4	140026846	140246784	-	219939	42	178	120	1	3	6	12	9	8
Gm13027	chr4	140131877	140133351	+	1475	0	1	0	0	0	0	0	0	0
Gm13029	chr4	140142873	140144633	+	1761	0	0	0	0	0	0	1	0	0
Gm9867	chr4	140320656	140323302	-	2647	0	0	0	0	0	0	0	0	0
Gm13016	chr4	140380630	140385574	+	4945	0	0	5	0	0	0	0	0	0
Gm13017	chr4	140391148	140396604	+	5457	0	3	0	0	0	0	0	0	0
Gm13021	chr4	140422524	140431931	+	9408	0	4	4	0	0	0	0	0	0
Gm13026	chr4	140437963	140461291	+	23329	1	38	9	0	0	0	6	0	0
Arhgef10l	chr4	140514485	140666012	-	151528	1137	1832	1559	663	731	766	2928	1900	1573
Gm13025	chr4	140679753	140684617	+	4865	4	2	3	0	2	0	0	3	0
Gm23045	chr4	140692697	140692792	+	96	0	0	0	0	0	0	0	0	0
Rcc2	chr4	140700541	140723220	+	22680	1840	1586	1465	3537	3813	3172	1214	973	1146
Gm25951	chr4	140717043	140717106	+	64	117	86	93	195	171	167	64	77	63
Padi6	chr4	140727355	140742643	-	15289	25	45	10	4	0	4	13	7	16
Padi4	chr4	140745865	140774236	-	28372	2	20	33	0	0	0	23	23	25
Padi3	chr4	140785365	140810648	-	25284	0	10	4	87	129	72	28	54	38
Gm13032	chr4	140810993	140817511	+	6519	8	20	2	16	9	14	16	16	44
Padi1	chr4	140812983	140845778	-	32796	9	9	14	16	9	14	32	23	47
4930515B02Rik	chr4	140872693	140878055	+	5363	0	0	0	0	0	1	18	11	8
Padi2	chr4	140906344	140952586	+	46243	111	132	32	25	62	237	1721	1753	1316
Gm26226	chr4	140918684	140918799	+	116	0	0	0	0	0	0	0	0	0
Gm13031	chr4	140947666	140957902	-	10237	65	50	28	22	42	105	925	894	714
Sdhb	chr4	140961203	140979193	+	17991	2601	3242	1952	17498	14137	14602	14139	12900	14279
Atp13a2	chr4	140986873	141007330	+	20458	224	190	156	93	314	327	462	474	469
Mfap2	chr4	141010418	141015984	+	5567	4761	3982	2153	19	3	40	199	182	26
Crocc	chr4	141016637	141060550	-	43914	50	131	80	159	98	187	56	29	0
Necap2	chr4	141066512	141078357	-	11846	2135	2286	1471	2960	2210	2312	1936	2437	1263
Gm13047	chr4	141084864	141085678	+	815	0	0	2	5	9	3	4	0	1
Spata21	chr4	141088333	141112760	+	24428	72	159	114	1	1	0	17	2	0
Szrd1	chr4	141113001	141139775	-	26775	2069	2012	1475	3432	3607	3699	1978	2047	1959
4921514A10Rik	chr4	141115660	141118087	+	2428	358	348	297	942	913	852	413	464	412
Fbxo42	chr4	141147913	141204062	+	56150	1453	1417	1479	717	1318	1412	724	676	671
Rsg1	chr4	141213956	141226756	+	12801	79	204	100	139	123	91	133	66	119
C630004L07Rik	chr4	141238179	141239453	-	1275	4	9	0	0	14	6	0	15	2
Arhgef19	chr4	141239499	141257564	+	18066	229	161	76	400	172	224	52	88	167
Gm13055	chr4	141261762	141266016	-	4255	30	28	10	0	1	1	1	0	0
Gm13056	chr4	141278439	141279794	+	1356	14	1	6	222	163	93	60	92	93
Epha2	chr4	141301240	141329384	+	28145	1498	1359	1643	1511	2634	2424	390	892	637
Gm25690	chr4	141346164	141346240	+	77	0	0	0	0	0	0	0	0	0
Gm13074	chr4	141347814	141350853	+	3040	0	0	0	0	0	0	0	0	0
Gm13076	chr4	141356888	141357091	-	204	2	3	0	9	12	5	5	9	5
Fam131c	chr4	141368220	141384175	+	15956	9	20	12	7	6	11	5	9	2
Clcnka	chr4	141384610	141398724	-	14115	32	4	0	0	0	0	149	162	36
Gm13075	chr4	141398829	141411191	+	12363	2	3	0	0	0	0	5	21	0
Clcnkb	chr4	141404353	141416014	-	11662	6	7	16	0	0	0	8	23	0
Hspb7	chr4	141420779	141425311	+	4533	279	157	278	290	120	462	14387	10552	15225
Gm694	chr4	141432672	141436105	-	3434	1	21	7	0	0	5	6	2	0
Zbtb17	chr4	141444654	141467930	+	23277	1761	2228	1508	2222	2917	2856	2624	2850	2180
Spen	chr4	141467890	141538597	-	70708	1560	1802	1454	589	695	619	480	239	369
B330016D10Rik	chr4	141546189	141547892	+	1704	23	41	60	26	44	18	24	28	17
Fblim1	chr4	141576062	141606096	-	30035	723	974	1386	985	1237	1309	1220	1199	901
Tmem82	chr4	141613376	141618633	-	5258	16	43	42	0	0	8	2	16	13
AI507597	chr4	141614026	141615604	+	1579	8	22	15	0	0	4	0	5	8
Slc25a34	chr4	141618824	141623821	-	4998	53	25	10	62	0	0	48	21	30
Plekhm2	chr4	141625734	141664899	-	39166	2527	2816	2158	292	235	246	637	344	353
Ddi2	chr4	141677549	141723419	-	45871	2004	1770	1164	1102	2094	1638	1848	1279	1110
Rsc1a1	chr4	141683851	141685599	-	1749	723	500	473	544	1044	750	802	585	417
Agmat	chr4	141746672	141759263	+	12592	6	8	1	0	0	3	80	57	21
Dnajc16	chr4	141760189	141790931	-	30743	124	132	59	245	420	362	912	511	812
Casp9	chr4	141793612	141815976	+	22365	107	199	390	122	253	370	506	231	395
Cela2a	chr4	141814962	141826160	-	11199	26	52	146	19	57	61	106	44	65
Ctrc	chr4	141814962	141846359	-	31398	32	100	178	19	58	62	107	44	65
Ctrcos	chr4	141844321	141846990	+	2670	1	11	4	0	0	0	0	0	0
Efhd2	chr4	141858142	141874920	-	16779	3933	5679	6047	1731	892	1151	1328	717	481
Gm29367	chr4	141875707	141877033	+	1327	1	32	4	0	8	0	0	0	8
Fhad1os2	chr4	141885654	141897282	+	11629	25	13	11	0	0	0	1	0	3
Fhad1	chr4	141890438	142015082	-	124645	64	106	41	0	0	3	149	59	76
Gm13059	chr4	141976779	141977343	+	565	0	0	0	0	0	0	0	0	0
Fhad1os1	chr4	141982992	141986797	+	3806	1	0	0	0	0	0	0	0	0
4930455G09Rik	chr4	142017898	142028996	+	11099	5	59	93	0	0	0	0	0	0
Tmem51	chr4	142030992	142084304	-	53313	763	1075	952	3	4	1	2	11	2
Gm13053	chr4	142042912	142048578	-	5667	39	37	54	2	0	0	0	0	0
Tmem51os1	chr4	142083972	142088099	+	4128	67	142	87	0	0	0	2	1	0
Kazn	chr4	142102390	142239401	-	137012	1993	1941	1577	15	67	78	114	25	14
Gm13062	chr4	142180602	142184139	+	3538	0	4	9	0	0	0	0	0	0
Gm13052	chr4	142307765	142346475	-	38711	49	103	71	0	0	0	0	0	0
RP23-416J8.1	chr4	142598441	143074839	-	476399	123	529	193	3	0	0	58	16	18
Gm37624	chr4	142790808	142791026	+	219	0	0	0	0	0	0	0	0	0
Prdm2	chr4	143107391	143212995	-	105605	2568	3424	2077	608	1096	1010	757	603	583
Mir7021	chr4	143136100	143136162	-	63	12	21	25	8	22	10	5	17	7
Gm13038	chr4	143152572	143153030	+	459	0	10	0	2	1	1	1	0	0
Gm13039	chr4	143166603	143167396	+	794	26	17	17	84	75	85	27	20	27
Gm22039	chr4	143204065	143204196	+	132	0	0	0	0	0	0	9	0	0
Gm13050	chr4	143242024	143243368	-	1345	922	772	635	1262	1383	1219	1046	741	718
Pdpn	chr4	143267431	143299564	-	32134	9128	8481	4310	4898	4420	4093	3521	6125	1649
Gm26313	chr4	143340399	143340706	+	308	0	0	0	0	0	0	0	0	0
Lrrc38	chr4	143349757	143371032	+	21276	9	5	0	0	0	0	34	52	113
Anp32b-ps1	chr4	143389659	143390416	+	758	818	661	422	3465	3202	2717	740	813	821
Pramel1	chr4	143394428	143400160	+	5733	0	12	0	0	0	2	0	0	0
Gm13045	chr4	143402344	143403413	+	1070	0	1	0	0	0	0	0	0	0
Pramef8	chr4	143412426	143421091	+	8666	683	764	535	374	977	981	824	1046	927
Oog4	chr4	143437164	143450324	-	13161	7	34	6	0	0	0	5	0	0
Gm13042	chr4	143458378	143460538	-	2161	0	1	1	0	2	3	0	0	0
Gm13046	chr4	143464274	143464774	-	501	0	0	0	0	0	0	0	0	0
Gm13041	chr4	143499435	143502095	+	2661	0	0	1	0	0	0	0	0	0
Gm13043	chr4	143511343	143517831	+	6489	0	0	0	0	0	0	0	0	0
Gm13040	chr4	143535954	143542471	+	6518	0	0	0	0	0	0	0	0	0
BC080695	chr4	143551700	143573798	+	22099	0	4	0	0	0	10	0	0	0
Gm13057	chr4	143551709	143558234	+	6526	0	1	0	0	0	0	0	0	0
Gm13058	chr4	143595062	143597611	-	2550	0	0	1	0	0	0	0	0	0
Gm13080	chr4	143611658	143612077	-	420	99	202	134	470	338	483	576	528	502
Gm13083	chr4	143615003	143618595	+	3593	0	2	1	0	0	0	0	0	0
Gm13088	chr4	143653760	143657246	-	3487	0	8	4	0	0	0	8	0	0
Gm13085	chr4	143663143	143663787	-	645	0	0	0	0	0	0	0	0	0
Gm13082	chr4	143671124	143671684	+	561	211	157	90	163	185	150	189	172	195
Gm13089	chr4	143696500	143702711	-	6212	0	7	4	0	0	0	0	0	0
Gm13078	chr4	143719455	143729158	+	9704	0	6	0	0	0	0	0	0	0
Gm13087	chr4	143735298	143735553	-	256	0	0	0	0	0	0	0	0	0
Gm13081	chr4	143745787	143751385	+	5599	0	14	17	0	0	0	0	0	0
Gm13023	chr4	143789352	143795575	+	6224	0	11	0	0	0	0	1	0	0
Gm13084	chr4	143809245	143816093	-	6849	0	14	0	1	0	0	0	0	0
Gm13103	chr4	143846497	143853637	+	7141	0	14	1	0	0	0	6	0	0
Pramef6	chr4	143894237	143900380	-	6144	0	15	0	0	0	0	0	1	0
Gm13100	chr4	143913857	143916442	+	2586	0	8	1	0	0	0	0	0	0
Gm13106	chr4	143928534	143930736	-	2203	0	0	0	0	0	0	0	0	0
Pramef25	chr4	143948580	143951016	-	2437	0	0	0	0	0	0	0	0	0
Gm13101	chr4	143964518	143966950	-	2433	0	0	0	0	0	0	1	0	0
Pramef17	chr4	143991119	143994369	-	3251	0	0	0	0	0	0	0	0	0
Gm13108	chr4	144033631	144035610	+	1980	0	8	0	0	0	0	0	0	0
Gm13104	chr4	144041033	144042478	-	1446	2	0	0	2	1	1	1	0	0
Pramel4	chr4	144059126	144069327	+	10202	1	15	1	0	0	0	0	0	0
Gm13102	chr4	144106474	144110101	+	3628	0	0	4	0	0	0	0	0	0
Oog3	chr4	144157557	144162663	-	5107	0	5	0	0	0	0	0	0	0
Oog2	chr4	144190719	144196934	+	6216	10	16	0	1	0	0	0	0	0
C87977	chr4	144206775	144213318	-	6544	2	3	0	0	0	0	0	0	0
Gm13123	chr4	144247777	144248268	+	492	65	79	51	68	104	141	59	52	77
Pramel5	chr4	144270633	144280488	-	9856	4	15	1	0	0	0	2	0	0
Gm13120	chr4	144296692	144298137	+	1446	0	0	2	0	0	5	2	0	0
Gm13130	chr4	144302961	144304941	-	1981	0	4	0	0	0	0	0	0	0
Gm13128	chr4	144330249	144333465	+	3217	0	0	1	0	0	0	0	0	0
Gm13122	chr4	144345597	144346049	-	453	0	0	0	0	0	0	0	0	0
Gm13119	chr4	144357942	144364419	+	6478	0	2	0	0	0	0	3	0	0
Gm13125	chr4	144372760	144377933	-	5174	0	0	0	0	0	0	0	1	0
Pramef12	chr4	144391674	144408464	-	16791	46	84	46	1	0	0	18	1	0
Pramef12os	chr4	144404868	144406301	+	1434	12	30	41	0	0	0	4	0	0
1700012P22Rik	chr4	144418189	144438772	-	20584	2	16	1	0	0	0	0	0	0
Gm9944	chr4	144453009	144453317	-	309	0	0	0	0	0	0	0	0	0
Aadacl3	chr4	144453771	144463756	-	9986	0	10	0	0	0	0	4	1	0
Gm13118	chr4	144498400	144498948	-	549	0	0	0	1	0	0	0	0	0
9430007A20Rik	chr4	144519822	144529353	+	9532	17	27	11	47	57	45	6	9	10
Gm13121	chr4	144526411	144527042	-	632	15	11	8	33	43	30	4	7	7
Gm13126	chr4	144545506	144548568	-	3063	9	14	21	105	155	134	58	45	46
Gm13124	chr4	144555000	144565134	-	10135	0	9	0	0	0	0	1	0	0
Gm13127	chr4	144587244	144588632	+	1389	407	483	409	1887	2095	1825	1194	970	938
Gm13177	chr4	144613707	144623398	+	9692	0	5	0	0	0	0	0	0	0
Gm436	chr4	144669937	144686368	-	16432	0	71	10	0	0	0	0	0	0
Gm13178	chr4	144703191	144721404	-	18214	4	13	33	0	0	0	0	0	0
Gm25938	chr4	144765627	144765792	-	166	0	0	0	0	0	0	0	0	0
Gm438	chr4	144777204	144786583	-	9380	0	1	0	0	0	0	0	0	0
Prdx2-rs3	chr4	144791837	144792660	+	824	7	12	7	42	55	31	50	29	25
Dhrs3	chr4	144892827	144928209	+	35383	1812	1380	1173	142	105	103	687	430	148
Gm38074	chr4	144957155	144958848	-	1694	0	0	0	0	0	0	0	0	0
Vps13d	chr4	144972622	145195005	-	222384	1382	2336	1590	257	417	673	494	273	334
Tnfrsf1b	chr4	145213463	145246870	-	33408	288	409	170	342	709	450	585	177	165
Tnfrsf8	chr4	145267137	145315164	-	48028	1	45	0	0	0	0	4	1	0
Gm13024	chr4	145390943	145391660	+	718	0	0	1	2	0	2	0	0	0
Gm13224	chr4	145404306	145404399	+	94	4	0	2	6	1	0	6	11	6
Platr16	chr4	145410245	145449756	+	39512	8	168	36	2	1	1	23	1	1
Gm13230	chr4	145446740	145450888	+	4149	2	26	0	0	2	0	2	0	3
Gm13223	chr4	145455633	145456379	+	747	1	5	0	3	7	22	8	2	5
Smarca5-ps	chr4	145464204	145467420	+	3217	337	343	281	363	244	265	85	72	75
Gm13229	chr4	145469711	145470050	-	340	0	0	0	0	0	0	0	0	0
Gm13225	chr4	145510759	145539188	+	28430	2	62	1	1	3	1	12	4	1
Gm21978	chr4	145560513	145560889	+	377	0	5	0	0	0	0	0	0	0
Gm13228	chr4	145574528	145575161	+	634	0	1	0	1	1	0	1	0	1
Gm13226	chr4	145576889	145577292	-	404	76	86	74	263	299	231	141	148	119
Gm13222	chr4	145579036	145579173	+	138	3	0	0	0	0	2	4	2	7
Gm13212	chr4	145585166	145625345	+	40180	11	138	39	22	22	21	58	35	27
Gm26763	chr4	145601963	145711968	-	110006	305	656	273	524	357	336	292	220	207
Gm13234	chr4	145632504	145633250	+	747	18	28	20	71	69	60	86	74	66
Gm13231	chr4	145641357	145644399	+	3043	229	230	181	336	181	189	63	41	36
Gm13249	chr4	145646771	145647115	-	345	0	1	0	0	0	0	0	0	0
Gm13242	chr4	145670685	145704441	+	33757	12	204	20	15	13	9	14	8	6
Gm13239	chr4	145689842	145690478	+	637	0	3	0	7	4	4	0	0	2
Gm13232	chr4	145729581	145730212	-	632	20	22	21	223	236	198	24	23	26
Gm13244	chr4	145745746	145747401	+	1656	2	4	6	0	1	1	1	7	2
Gm13236	chr4	145762929	145764958	+	2030	0	1	0	0	0	0	0	0	0
Gm13243	chr4	145774719	145775283	+	565	5	9	12	5	2	8	8	7	8
Vmn2r-ps15	chr4	145775612	145775988	+	377	0	0	0	0	0	0	0	0	0
Znf41-ps	chr4	145825237	145829942	+	4706	12	20	22	4	30	25	29	24	16
Gm13238	chr4	145837219	145837998	+	780	1	20	0	1	10	3	6	2	1
Gm13246	chr4	145844404	145844718	-	315	0	1	0	2	0	1	0	0	0
Gm13235	chr4	145868794	145899975	+	31182	10	39	7	1	0	0	11	4	0
Gm13036	chr4	146058776	146059523	+	748	12	24	11	34	30	41	48	43	35
Gm13034	chr4	146067752	146070928	+	3177	249	296	234	357	251	229	76	63	57
Gm13035	chr4	146073257	146073598	-	342	0	1	0	0	0	0	0	1	0
Gm13051	chr4	146097298	146126621	+	29324	5	54	6	0	0	0	27	1	0
Gm26573	chr4	146153456	147024959	-	871504	1428	2510	1247	2903	2809	2449	1035	1018	866
Zfp600	chr4	146156824	146198755	+	41932	7	139	30	24	17	18	7	15	7
Gm13165	chr4	146167522	146205732	-	38211	8	114	18	22	17	18	9	13	6
Gm13170	chr4	146178124	146178766	+	643	0	3	2	3	4	2	0	0	0
Gm13167	chr4	146224036	146224613	-	578	16	7	10	147	110	114	7	12	6
Gm13169	chr4	146239954	146241633	+	1680	12	10	13	2	3	7	3	2	1
Gm13166	chr4	146251829	146278434	+	26606	9	38	8	1	7	1	1	1	1
Gm13168	chr4	146263559	146264190	+	632	5	1	2	1	1	0	1	1	1
Vmn2r-ps17	chr4	146264521	146264895	+	375	0	0	0	0	0	0	0	0	0
Gm13251	chr4	146449023	146470292	+	21270	12	63	17	2	10	4	12	40	3
Gm13241	chr4	146475332	146476111	+	780	85	90	53	204	194	185	306	229	245
Gm13245	chr4	146480667	146480926	+	260	0	1	1	0	0	0	0	0	0
Gm13247	chr4	146502027	146539395	+	37369	125	261	74	38	59	39	138	96	62
Gm26880	chr4	146509094	146511764	-	2671	74	80	32	24	40	24	49	58	36
1700095A21Rik	chr4	146519039	146546873	-	27835	2	116	14	0	0	0	59	10	0
Gm13237	chr4	146564453	146565087	-	635	73	60	51	673	742	587	45	63	95
Gm13233	chr4	146580629	146582312	+	1684	1	4	0	2	1	0	3	0	1
Gm13240	chr4	146604212	146604776	+	565	0	2	0	0	0	0	3	1	3
Vmn2r-ps16	chr4	146605105	146605481	+	377	0	1	0	0	0	0	0	0	0
Gm13248	chr4	146610961	146658160	+	47200	8	46	11	4	2	8	16	4	3
Gm21411	chr4	146892406	146909590	-	17185	18	27	3	6	0	0	3	1	1
Gm20760	chr4	146932742	146933389	+	648	2	5	2	4	0	2	3	5	2
Gm13140	chr4	146942476	146945825	+	3350	153	169	150	137	105	86	33	24	25
Gm13149	chr4	146948160	146948498	-	339	0	1	0	0	0	0	0	0	0
Gm13150	chr4	146971976	146990755	+	18780	1	23	2	0	0	1	2	1	0
C230088H06Rik	chr4	147018235	147492201	-	473967	952	2691	1094	607	609	526	631	430	365
Rex2	chr4	147021850	147060794	+	38945	7	89	14	8	5	7	16	8	0
Gm13153	chr4	147040685	147041321	+	637	0	1	0	3	1	2	0	1	0
4933438K21Rik	chr4	147063366	147068436	-	5071	0	11	3	0	0	0	1	0	0
Gm13160	chr4	147086358	147086984	-	627	6	15	17	82	83	71	5	7	15
Gm13142	chr4	147102327	147103981	+	1655	34	51	41	8	9	14	23	14	13
Gm13162	chr4	147125256	147125816	+	561	9	4	2	2	5	4	6	3	5
Vmn2r-ps18	chr4	147126130	147126509	+	380	0	3	0	0	0	0	0	0	0
Gm13139	chr4	147132038	147180579	+	48542	37	112	40	40	65	40	20	60	35
Gm26624	chr4	147136278	147457019	+	320742	833	2180	946	427	425	366	547	354	314
Gm13146	chr4	147187708	147188487	+	780	0	3	0	0	1	1	6	1	1
Gm13163	chr4	147194876	147195211	-	336	0	1	0	0	1	0	0	0	0
Gm13147	chr4	147230284	147259338	+	29055	25	234	55	2	6	7	37	8	12
Gm13158	chr4	147267373	147268108	+	736	2	2	6	0	2	6	5	4	2
Gm13135	chr4	147275976	147279096	+	3121	371	416	412	233	225	193	79	57	61
Gm13144	chr4	147281446	147281790	-	345	0	0	0	0	0	0	0	1	0
Gm13151	chr4	147305674	147333734	+	28061	4	38	11	2	0	1	20	6	4
Gm13145	chr4	147361303	147391004	+	29702	7	117	16	15	12	14	16	8	5
Gm8178	chr4	147378929	147379574	+	646	1	1	1	6	3	6	2	0	2
Gm13161	chr4	147443471	147444029	+	559	6	0	1	1	3	1	1	2	2
Vmn2r-ps19	chr4	147444380	147444648	+	269	2	0	0	0	0	0	0	0	0
Gm13152	chr4	147492417	147513486	+	21070	9	84	54	24	17	0	15	10	21
Gm15951	chr4	147520468	147520867	-	400	0	0	0	0	0	0	0	0	0
Vmn2r-ps20	chr4	147521531	147521912	+	382	2	5	0	0	0	0	0	0	0
Gm13141	chr4	147527719	147528174	-	456	2	2	3	18	15	15	5	3	8
Gm16503	chr4	147540218	147543500	+	3283	0	37	4	0	0	0	3	0	0
Gm13154	chr4	147553277	147585198	+	31922	4	80	15	13	1	3	24	8	1
2610305D13Rik	chr4	147611937	147642513	-	30577	62	152	98	48	13	24	47	42	21
Gm13155	chr4	147624240	147624885	-	646	0	2	0	2	1	5	0	0	0
Gm16211	chr4	147668518	147670854	-	2337	0	0	0	0	0	0	0	0	0
Zfp534	chr4	147673502	147702553	-	29052	7	69	22	3	1	0	30	3	3
Gm13137	chr4	147732788	147733132	+	345	0	0	0	0	0	1	0	0	0
Gm13136	chr4	147735477	147738426	-	2950	355	417	287	412	265	278	82	74	61
Gm13148	chr4	147745817	147746561	-	745	31	45	40	76	78	83	108	98	89
Gm13157	chr4	147753974	147809788	-	55815	104	333	279	142	421	322	783	358	349
Gm20707	chr4	147782319	147809840	-	27522	22	112	90	27	117	71	131	31	46
Rps19-ps3	chr4	147821777	147822202	-	426	448	429	322	1167	1252	841	529	864	587
Zfp933	chr4	147822986	147848366	-	25381	252	376	258	204	333	416	236	173	254
Miip	chr4	147860778	147868816	-	8039	353	398	594	945	840	778	297	251	384
Fv1	chr4	147868979	147870358	+	1380	30	54	10	48	104	112	162	39	124
Mfn2	chr4	147873599	147904704	-	31106	1098	1185	1146	657	2227	2526	3013	1376	3645
Gm13156	chr4	147893673	147893993	+	321	20	24	28	0	20	15	0	0	3
Plod1	chr4	147909753	147936767	-	27015	8827	6017	5524	1306	1431	1699	3747	3625	1482
2510039O18Rik	chr4	147940895	147947314	+	6420	364	263	251	553	247	322	294	445	251
Nppb	chr4	147985788	147987205	+	1418	0	3	4	0	0	0	11	89	15
Nppa	chr4	148000722	148002079	+	1358	2	8	28	2	0	0	11	3	5
Gm13054	chr4	148001091	148004014	-	2924	3	13	55	2	1	0	10	2	13
Clcn6	chr4	148004259	148038821	-	34563	371	522	738	241	451	371	321	319	252
Gm13207	chr4	148031554	148032326	+	773	2	2	0	0	13	0	0	0	0
Mthfr	chr4	148039077	148059551	+	20475	1114	1608	1220	158	108	340	668	353	742
Gm13202	chr4	148068031	148068492	-	462	2591	2242	1676	5513	5223	5223	4830	4760	4676
Gm13201	chr4	148071392	148075420	-	4029	16	37	20	0	0	0	0	0	0
Agtrap	chr4	148077061	148088031	-	10971	548	512	547	312	295	264	917	592	512
Draxin	chr4	148098437	148130698	-	32262	10	13	4	16	53	25	1	11	8
Mad2l2	chr4	148130384	148145699	+	15316	396	411	436	1216	1195	1316	1099	772	820
Fbxo6	chr4	148145716	148152140	-	6425	614	822	552	641	440	360	1261	1410	878
Mir7022	chr4	148146936	148146996	-	61	3	3	0	4	0	0	0	1	0
Fbxo44	chr4	148152800	148160482	-	7683	144	318	114	171	83	94	243	129	116
